ev_id,Aircraft_Key,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,lchg_userid,lchg_date,carb_fuel_injection,propeller_type,propeller_make,propeller_model,eng_time_total,eng_time_last_insp,eng_time_overhaul
"20080107X00026",1,1,"REC","Textron Lycoming","O-360-A3A",180,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080107X00026",2,1,"REC","Textron Lycoming","O-360",180,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080109X00036",1,1,"REC","Lycoming","IO-540",260,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080107X00027",1,1,"TP","Pratt & Whitney Canada","PT6A-67A",1200,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080115X00051",1,1,"REC","Lycoming","O-235-L2C",110,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080115X00047",1,1,"REC","Continental","IO-360-kb4b",190,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080123X00096",1,1,"REC","ROTAX","912S",100,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080116X00063",1,1,"REC","Lycoming","TIO-540 Serie",350,"HP",,"09/25/20 18:04:46","FINJ",,,,0,0,0
"20080116X00063",1,2,"REC","Lycoming","TIO-540 Serie",350,"HP",,"09/25/20 18:04:46","FINJ",,,,0,0,0
"20080114X00044",1,1,"REC","Lycoming","O-320-D1G",180,"HP",,"09/25/20 18:04:46","CARB",,,,0,0,0
"20080122X00087",1,1,"TS","Rolls Royce","250-C47B",674,"HP",,"09/25/20 18:07:03",,,,,0,0,0
"20080220X00212",1,1,"REC","Lycoming","O-320",150,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080210X00166",1,1,"REC","Continental","IO-550",300,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080210X00162",1,1,"REC","Lycoming","O-360",124,"HP",,"09/25/20 18:07:03","CARB",,,,0,0,0
"20080312X00299",1,1,"REC","Continental","C145-2",145,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080117X00068",1,1,"REC","Hirth","F30",80,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080219X00203",1,1,"REC","Continental","O-200-A",100,"HP","broda","05/17/22 13:26:42","CARB",,,,0,0,0
"20080123X00090",1,1,"REC","Lycoming","O-320-E2D",160,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080304X00261",1,1,"REC","Lycoming","TI0-540 ",300,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080207X00153",1,1,"TS","Rolls-Royce","250 C-20B",400,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080213X00179",1,1,"REC","Jabiru","3300",120,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080116X00062",1,1,"REC","Continental","TSIO-520-J(1)",310,"HP","grol","09/25/20 18:06:16","FINJ",,,,0,0,0
"20080116X00062",1,2,"REC","Continental","TSIO-520-J(1)",310,"HP","grol","09/25/20 18:06:16","FINJ",,,,0,0,0
"20080118X00073",1,1,"TF","General Electric","CF34-8C1",13780,"LBS",,"09/25/20 18:06:16",,,,,0,0,0
"20080118X00073",2,1,"TF","Pratt & Whitney","Pw2037",37000,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080219X00204",1,1,"REC","Lycoming","O-235",,,,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080117X00069",1,1,"REC","Lycoming","O-360",160,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080115X00046",1,1,"REC","Rotax","912ULS",95,"HP",,"09/25/20 18:04:46","CARB",,,,0,0,0
"20080115X00052",1,1,"REC","Lycoming","O-320-E1D",150,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080213X00180",1,1,"REC","Lycoming","IO-540-C1135",250,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080204X00131",1,1,"REC","Lycoming","O-320-B2C",160,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080129X00119",1,1,"REC","Lycoming","IO540-E1A5",290,"HP",,"09/25/20 18:04:46","FINJ",,,,0,0,0
"20080129X00119",1,2,"REC","Lycoming","IO540-E1A5",290,"HP",,"09/25/20 18:04:46","FINJ",,,,0,0,0
"20080214X00194",1,1,"REC","Continental","A-65",65,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080129X00117",1,1,"REC","Subaru","EJ-22",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080117X00067",1,1,"TP","Pratt and Whitney","PT6A-65B",1100,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080117X00067",1,2,"TP","Pratt and Whitney","PT6A-65B",1100,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080118X00075",1,1,"REC","Continental","IO-520",300,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080122X00085",1,1,"REC","Continental","IO-550-C (31)",300,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080122X00085",1,2,"REC","Continental","IO-550-C (31)",300,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080118X00074",1,1,"TP","Pratt & Whitney Canada","PT6A-114A",675,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080123X00091",1,1,"REC","Lycoming","O-360-",180,"HP",,"09/25/20 18:04:46","CARB",,,,0,0,0
"20080215X00202",1,1,"REC","Lycoming","IO-540",245,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080220X00218",1,1,"REC","Lycoming","TIO-540-AH1A",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080321X00354",1,1,"REC","Lycoming","IO-540",,,,"09/25/20 18:04:02",,,,,0,0,0
"20080128X00111",1,1,"TP","Pratt & Whitney Canada","PT6A-42A",500,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080312X00302",1,1,"REC","Lycoming","O-540-E4B5",260,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080312X00300",1,1,"REC","Rotax","582UL99",65,"HP",,"09/25/20 18:04:46","CARB",,,,0,0,0
"20080131X00125",1,1,"REC","Continental","IO-520-F",300,"HP",,"09/25/20 18:04:46","FINJ",,,,0,0,0
"20080128X00108",1,1,"REC","Lycoming","O-540-F1B5",260,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080123X00098",1,1,"REC","Teledyne Continental","IO-520-BA14",285,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080220X00213",1,1,"REC","Lycoming","O-320-B1A",160,"HP",,"09/25/20 18:06:16",,,,,0,0,0
"20080130X00124",1,1,"REC","Lycoming","O-320-H2AD",160,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080130X00124",2,1,"REC","Continental","O-200-A",100,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080122X00082",1,1,"REC","Lycoming","IO-360-A1B",200,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080122X00088",1,1,"TF","Pratt & Whitney","JT8D-17",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080122X00088",1,2,"TF","Pratt & Whitney","JT8D-17",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080411X00456",1,1,"TP","Honeywell","TPE331-11U",1000,"HP",,"09/25/20 18:04:02",,,,,0,0,0
"20080125X00103",1,1,"TF","CFM International","CFM56-5-A5",23500,"LBS",,"09/25/20 18:07:03",,,,,0,0,0
"20080210X00161",1,1,"REC","Lycoming","IO-360",,,,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080214X00188",1,1,"REC","Continental","O-200A",100,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080210X00160",1,1,"REC","Two Stroke International","690L-70",70,"HP",,"09/25/20 18:07:03","FINJ",,,,0,0,0
"20080514X00667",1,1,"TF","Iae","V2500SERIES",9895,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080514X00667",1,2,"TF","Iae","V2500SERIES",9895,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080129X00115",1,1,"REC","Rotax","503",50,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080129X00116",1,1,"REC","Jabiru","3300",120,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080205X00136",1,1,"REC","LYCOMING","IO-540-K1G5",300,"HP",,"09/25/20 18:04:02","FINJ",,,,0,0,0
"20080317X00317",1,1,"REC","Lycoming","O-320",180,"HP",,"09/25/20 18:05:31","CARB",,,,0,0,0
"20080305X00268",1,1,"TF","Honeywell","TFE 731",3500,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
"20080305X00268",1,2,"TF","Honeywell","TFE 731",3500,"LBS",,"09/25/20 18:04:46",,,,,0,0,0
