Category of Data,Table,Column,ct_name,code_iaids,meaning,Data Type eADMS,Length eADMS,short_desc,Question_Def,Code meaning,typeofchange,Change_notes
Pre eADMS coding,Occurrences,Occurrence_Code,,100,Abrupt maneuver,int,,Type of Occurrence,"Multiple occurrences can be used to describe n mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,110,"Altitude deviation, uncontrolled",int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,120,Cargo shift,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,130,Airframe/component/system failure/malfunction,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,131,Propeller failure/malfunction,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,132,Rotor failure/malfunction,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,140,Decompression,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,150,Ditching,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,160,"Dragged wing, rotor, pod, float or tail/skid",int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,170,Fire/explosion,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,171,Fire,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,172,Explosion,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,180,Forced landing,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,190,Gear collapsed,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,191,Main gear collapsed,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,192,Nose gear collapsed,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,193,Tail gear collapsed,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,194,Complete gear collapsed,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,195,Other gear collapsed,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,196,Gear not extended,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,197,Gear not retracted,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,198,Gear retraction on ground,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,200,Hard landing,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,210,Hazardous materials leak/spill,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,220,In flight collision with object,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,230,In flight collision with terrain/water,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,231,Wheels down landing in water,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,232,Wheels up landing,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,240,In flight encounter with weather,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,250,Loss of control - in flight,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,260,Loss of control - on ground/water,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,270,Midair collision,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,271,Collision between aircraft (other than midair),int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,280,Near collision between aircraft,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,290,Nose down,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
Pre eADMS coding,Occurrences,Occurrence_Code,,300,Nose over,int,,Type of Occurrence,"Multiple occurrences can be used to describe a mishap event. Each occurrence is coded separately, and a corresponding phase of operation is entered with each occurrence.",,,
