Category of Data,Table,Column,ct_name,code_iaids,meaning,Data Type eADMS,Length eADMS,short_desc,Question_Def,Code meaning,typeofchange,Change_notes
eADMS Data,aircraft,acft_category,ct_acft_cat,AIR,Airplane,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,BALL,Balloon,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,BLIM,Blimp,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,GLI,Glider,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,GYRO,Gyrocraft,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,HELI,Helicopter,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,PLFT,Powered-Lift,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,ULTR,Ultralight,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,UNK,Unknown,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,,Powered parachute,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_category,ct_acft_cat,,Weight shift,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
eADMS Data,aircraft,acft_expl,ct_expl_fire,BOTH,Ground and In-flight,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,,,
eADMS Data,aircraft,acft_expl,ct_expl_fire,GRD,Ground,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,,,
eADMS Data,aircraft,acft_expl,ct_expl_fire,IFLT,In-flight,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,,,
eADMS Data,aircraft,acft_expl,ct_expl_fire,NONE,None,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,,,
eADMS Data,aircraft,acft_expl,ct_expl_fire,UNK,Unknown,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,,,
eADMS Data,aircraft,acft_expl,ct_expl_fire,UORG,Unknown Origin,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,,,
eADMS Data,aircraft,acft_fire,ct_expl_fire,BOTH,Ground and In-flight,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,,,
eADMS Data,aircraft,acft_fire,ct_expl_fire,GRD,Ground,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,,,
eADMS Data,aircraft,acft_fire,ct_expl_fire,IFLT,In-flight,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,,,
eADMS Data,aircraft,acft_fire,ct_expl_fire,NONE,None,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,,,
eADMS Data,aircraft,acft_fire,ct_expl_fire,UNK,Unknown,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,,,
eADMS Data,aircraft,acft_fire,ct_expl_fire,UORG,Unknown Origin,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,,,
eADMS Data,aircraft,acft_make,,,,varchar,30,Aircraft Manufacturer's Full Name,"Name of the manufacturer of the involved aircraft. If the involved aircraft is certified as ""amateur-built,"" include the name of manufacturer of the kit or plans when appropriate.",,,
