,ev_id,ntsb_no,ev_date,ev_type,Aircraft_Key,aircraft category,flight purpose,acft_make,acft_model,homebuilt,num_eng,eng_no,eng_type,damage,far_part,regis_no,ev_city,ev_state,ev_country,latitude,longitude,ev_nr_apt_id,apt_name,ev_highest_injury,inj_tot_f,inj_tot_s,inj_tot_m,inj_tot_n,wx_cond_basic,Occurrence_No,broad phase of flight,specific phase of flight,Occurrence
35805,20180503X92154,DCA18CA165,2018-05-01,ACC,,,,,,,,,,,,,Queens,NY,USA,403838N,0734655W,JFK,John F Kennedy Intl,NONE,0.0,0.0,0.0,276.0,VMC,,,,
35806,20180502X12325,WPR18LA132,2018-05-01,ACC,1.0,Weight shift,Personal,COSMOS,PHASE III,N,,,,SUBS,091,N6466,Fernandina Beach,FL,USA,303643N,0812740W,FHB,FERNANDINA BEACH MUNI,MINR,0.0,0.0,0.0,1.0,VMC,1.0,Initial Climb,Initial Climb,Loss of control in flight
35807,20180501X32346,WPR18FA131,2018-05-02,ACC,1.0,Airplane,Personal,AMERICAN AIR RACING LTD,THUNDER MUSTANG,Y,1.0,1.0,REC,SUBS,091,N352BT,Reno,NV,USA,393941N,0119524W,RTS,RENO/STEAD,FATL,1.0,0.0,0.0,0.0,VMC,3.0,Landing,Landing-Landing Roll,Nose over/nose down
35808,20180503X85948,CEN18LA156,2018-05-02,ACC,1.0,Airplane,Personal,LAMINAR,Lancair 360,Y,1.0,1.0,REC,SUBS,091,N92WL,Woodward,OK,USA,362637N,0993054W,,,NONE,0.0,0.0,0.0,2.0,VMC,2.0,Enroute,Enroute-Cruise,Fuel related
35809,20180514X70043,GAA18CA347,2018-05-02,ACC,1.0,Airplane,Personal,PIPER,PA28,N,1.0,1.0,REC,SUBS,091,N9494J,Pine Spring,TX,USA,314529N,1044635W,,,NONE,0.0,0.0,0.0,1.0,VMC,1.0,Enroute,Enroute,Other weather encounter
35810,20180501X12617,WPR18LA130,2018-05-02,ACC,1.0,Helicopter,Personal,ROBINSON HELICOPTER,R22 BETA,N,1.0,1.0,REC,SUBS,091,N7526S,Portland,OR,USA,045425N,0122511W,,,SERS,0.0,1.0,1.0,0.0,VMC,2.0,Uncontrolled Descent,Uncontrolled Descent,Collision with terr/obj (non-CFIT)
35811,20180502X52741,ERA18FA138,2018-05-02,ACC,1.0,Airplane,Personal,PIPER,PA32,N,1.0,1.0,REC,DEST,091,N4153R,West Milford,NJ,USA,041717N,0074213W,4N1,Greenwood Lake,FATL,1.0,0.0,0.0,0.0,VMC,2.0,Unknown broad phase,Takeoff,Fire/smoke (non-impact)
35812,20180502X24152,GAA18CA250,2018-05-02,ACC,1.0,Helicopter,Personal,MICHAEL R ALEXANDER,MOSQUITO XE,Y,1.0,1.0,REC,DEST,091,N725JC,Iron Station,NC,USA,352624N,0081712W,,,MINR,0.0,0.0,0.0,0.0,VMC,2.0,Maneuvering,Maneuvering-Hover,Control flight into terr/obj
35813,20180502X31917,GAA18CA248,2018-05-02,ACC,1.0,Airplane,Positioning,CESSNA,172,N,1.0,1.0,REC,SUBS,091,N734QQ,Port Angeles,WA,USA,473553N,1231634W,,,MINR,0.0,0.0,0.0,0.0,VMC,2.0,Maneuvering,Maneuvering-Low-alt flying,Collision with terr/obj (non-CFIT)
35814,20180503X02040,CEN18LA157,2018-05-02,ACC,1.0,Airplane,Personal,HARTLINE J BON,HARTLINE KITFOX III,Y,,1.0,REC,SUBS,091,N73BH,Marathon,TX,USA,331347N,0973524W,6TX9,Stovall Ranch Airport,MINR,0.0,0.0,0.0,0.0,VMC,2.0,Unknown broad phase,Takeoff,Collision with terr/obj (non-CFIT)
